QueryText,KccAns
aska bout dantiwada agril uni contact no,give the contact no
asking market price of cumin,give him market price
asking basal dose of cotton,prefer 60-60-60 npk kgha
asking pre emergence control of mealy bug before growing of cotton,prefer methyl parathion 25 kgha
asking about contact no of horticultural nursery,give him contact number
asking about variety of bt cotton,use beej dhan-12
ask about sucking pest in moong,use trisophose 15mlpump
asking about crop loan,contact to nationalised bank
ask about variety of paddy,gr-114679dandigurjari
ask about contact number of pest control in house,advice to contact pest control of india
ask about soil testing lab,give contact no of soil testing lab
ask about kisan credit card,give the proper information and advice to conatct nationalize bank
for fertilizer dose in paddy,blank
asking weedicide in cotton,blank
weed control in chilli,ues of pendimithalin 900gmhac of land
for subcidy of tractor,25 subcidy is given
asking information about intrest rate of kissan credit card,advice to contect to bank
ask about wilt in okra,use hexaconazol 20mlpump
variety of cotton,advice to use bolgard rashi-2 bijdhan
asking time of sowing of seasamum,prefer 15 jun-15 july
asking sucking pest in tulasi,use imidachloprid 7ml acephate 12gmpump
ask about sawing time of cotton,june-july
blank call,blank call
ask about mastasis in cow,advice to call after 10 am
ask for hte sab sidy in tractore,sab sidy up to 45000 rs
ask for the market price of mango,not price available
ask for the interest rate of kisan credit card,7 itrest rate
sowing time of cotton,prfer sowing in june-july
blank call,blank call
ask about market information of cumin,give market price
ask about market information of seasemum,give market information
asking cutting time of rose,prefer oct-nov
asking fertiliser in mango,prefer 4 kg as25 kg super phosphate20 kg mop plant
ask about sawing time of cotton,june-july
for vareity of cotton,rashibollgourdkrushidhan
ask for the varities of cotton,use of krushi dhan-12rashi-2vikramdigavijay
asking market price of cumin,it is about 7500-10000- rsquintal
asking of fertilizer in narsarybed of paddy,use 500 gm ammonium sulphate500 gm supar phospahat
asking time of sowing of cotton,prefer jun-july
asking of sowing time of cotton,to prefar june to july
ask about susidy on gypsum,available upto 50
asking fertiliser dose in groundnut,advice to use 125-25-00 npk kghac
blank call,blank call
blank call,blank call
asking sowing time of cotton,prefer june-july
asking time of sowing of cotton,prefer jun-july
asking contact no of gujarat state seed corporation,give contact no of gujarat state seed corporation
asking adress of gujarat seed corporationgandhinagar,give contact no
asking of fall of fruit,use naa 200mgurea 200gm10 lit water
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
ask about fertilizer in sapota,give 1kgn500gm p ktree
ask about sawing time of cotton,june-july
asking of market price of cumin,to give price
asking of kisan cradit card,advice to contect of bank
blank call,blank call
ask for the sab sidy in tractore,sab sidy up to 45000 rs
asking about mix cropping with cotton,use okra as mix cropping
asking how many percentage of phosphurus in dap,46 phosphrus in dap
asking information about getting subsidy on green house,advice to contact to district agriculture officer
asking information about getting subsidy on green house,blank
asking subcidy in green house,contact to taluka extension officer
wrong number,wrong number
asking variety in rice,prefer gr-67912gujari
ask about wilt in jowar,use hexaconazol 20mlpump
ask about variety oc paddy,use gurjarigr-111037
ask about variety of paddy,guajarijaya
sucking pest in jasud,advice to spray imidacloroprid 5-7mlpump
asking information about getting subsidy on vermicompost,advice to contact to taluka development officer
asking for purchasing of fertiliser,please contact to the agro centre
asking for drip irrigation,i have given ggrc contact number
ask about export of agril product,give propar information
blank call,blank call
asking about contact no of anand agriculture university,give him contact no
ask about variety of cotton,krushidhan-12
blank call,blank call
ask about variety of paddy,use guarajarigr-6-7-8-9
ask about land purchasing,give propar information
ask about hebicide in cotton,use oxadyzon 1kghac
asking date of agri fair in anand,26 to 28th may
asking time of sowingof cotton,prefer junjuly
asking market price of cumin,it is about 8050-9325 rsquintal
marketprice of cumin,8750-10200 rsqnt
marketprice of suva,not available
asking about where to get ardusa plant,advice to get from nursery
blank call,blank call
ask about variety of cotton,krushidhan-12
ask about central agriculture institute testingbhopal contact no,given contact no
asking variety of cotton,advice to grow krushi dhan-12rch-2mecho-12
asking for hsc exam result,gave the result
asking about cold storage information,blank
asking abouut cold storage information,give information
ask for ht eweather information,not possibility of rain
for vareity of sesamum,guj-12
ask about variety in cotton,use 50-50-50-npkha
ask about sowing time of cotton,prefer in june -july 
asking about market for selling aloe vera,for sell contact to any pharmaceutical
asking information about getting the harvestor machineo,gave the contact noof agriculture tools and implemnets of ahmedabad
ask for the contect numer fo agrimanufacture industry,give the contect number
blank call,blank call
ask for the weather report,not possibility of rain
variety of bottle gourd,pusa navin punjab komal
asking contact no of aau,give contact no of aau
asking contact no of paddy research sattionnavagam,give contact no
sowing tiem of paddy,sowing in june-july
asking split application in okra,prefer 75 kg nitrogenha after 45 days of sowing
asking wilt in okra,prefer carbendezim 30 gmpump
asking contact to noof randhaja kvk noo,blank
for contact no of kvk,blank
asking for contact number of kvk,i have given number
asking contact no of gujarat urban development company ltd,give him contact number
ask about prise of cotton seed,krushidhan-1 650 rs 450 gkrushidhan-2-750rs per 450 g
blank call,blank call
ask about sucking pest in chilli,emida chlopride 8mlacephate 10gmpump
ask about variety in paddy,use guajarijaya gr-3-4-611
blank call,blank call
ask about sawing time paddy,1st week of june
asking fertiliser after first picking in chilli,use 25 kg nha
ask about subsidy on cattleshed,available 50intrest free loan
ask about contact no of nationalize bank,give contact no of dena bank
sucking pest in maize,advice to give imidacloroprid 5-7mlpump
sowing time of cotton,sowing in june-july
asking information for getting blue-green algae ,advice to contact to anand agriculture university
asking about information for subsidy on well,advice to contect to agri officer
asking loan in agriculture crops,advice to give contact to nationalise bank
asking loan in agriculture crops,advice to give contact to nationalise bank
ask about urad variety,use t-9 tpu-4
asking variety in cotton,prefer rashi-2bijdhan-2
asking for weather,there is no possibility of rainfall
asking for cumin seed market price,net is not available
asking for market price of cotton,net is not working
for marketprice of cotton,blank
ask about organic fertilizer,give propar information
asking market price of cumin,market price of cumin rs6000-12525qnt
asking weather information,rain possibility on 6th june
ask about heliothis in jowar,use quinalphose 15mlpump
asking time of sowing of paddy,prefer jun-july
fertiliser dose of sesamum,advice to givr 125-125-00kgnpk per hac
asking control for sucking pest in cotton,advice to use methyl-o-demeton 20mlpump
asking contact noof asst director of horticulture,nonot available
variety of non irrigated caster,prfere gch-126
ask about variety in castor,use gch-5-6-74
ask about ferilizer in paddy,use amonium sulphate 4 0 kg basal doseand 40 kgflowering time
ask about control of ant,advice to use kerocense
asking about control of ant,use kerosene
blank call,blank call
seed treamtment of paddy,advice to give macozeb 5-6gmkg seed
ask for the want to take a lown,contect to bankand give the document as per requirment of bank
asking pre emergence weed control in paddy,prefer butaclor 15 kgha
asking variety of cotton,prefer beej dhan-12
asking about variety of cotton,advice to use bolgard bijdhan rashi
asking about where to get coconut plant,blank
asking where to get coconut plant,contect to nursery
asking sowing time of paddy,advice to sowing in june-july
asking for weather,there is no possibility of rainfall
asking for sowing of paddy,prfer sowing in june-july
asking contact no of gsfc,give him contact number
ask for the contect number of nurccery,give the contect number
ask for ht econtect number of aau,give the contect number
ask about variety of cotton,krushidhan-12
asking information of rain,not possibility
asking about weather report,no rail possibility till 10th june
ask fo rht eweather report,not possibility of rain
for fertilizer of watermelon,give 163kg urea 313kg ssp and 83kg mop per ha
blank call,blank call
variety of watermelon,prfere sugar babyashahi yamato arka jyoti
asking split application in okra,prefer 240 kg asha
asking variety in soyabean,prefer gujsoy-12
variety of cotton,advice to use bolgard bijdhan rashi
asking whitefly in brinjal,prefer tizophos 20 mlpump
